Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date
Europe,Finland,Beverages,Online,L,1/12/15,698223054,2/27/15
Central America and the Caribbean,Saint Lucia,Cereal,Online,H,7/25/16,287341678,8/10/16
Sub-Saharan Africa,Ethiopia,Cosmetics,Online,L,10/24/13,293460118,10/27/13
Europe,Czech Republic,Household,Offline,C,8/23/16,347877204,10/4/16
Australia and Oceania,Marshall Islands,Clothes,Online,H,4/10/13,602204263,5/12/13
North America,United States of America,Snacks,Online,H,12/1/11,378365123,12/13/11
Australia and Oceania,Samoa ,Snacks,Online,L,4/11/14,418596112,5/15/14
Europe,Russia,Baby Food,Online,C,10/5/11,635446059,11/10/11
Middle East and North Africa,Algeria,Fruits,Offline,H,12/29/11,561776292,1/20/12
North America,Canada,Personal Care,Offline,L,4/19/12,700760638,5/21/12
Asia,Brunei,Household,Offline,M,1/27/11,275885426,2/18/11
Europe,Latvia,Office Supplies,Online,M,7/21/11,380949485,8/23/11
Europe,Hungary,Meat,Online,M,6/23/10,830064141,7/15/10
Asia,Bangladesh,Meat,Online,C,1/1/17,607653224,2/4/17
Middle East and North Africa,Yemen,Snacks,Offline,M,1/24/11,118453061,2/18/11
Europe,United Kingdom,Cosmetics,Offline,M,4/24/15,737512481,6/4/15
Asia,Bhutan,Clothes,Online,H,8/3/15,760192811,9/14/15
Europe,Hungary,Snacks,Online,L,3/4/10,352167880,3/29/10
Asia,Vietnam,Household,Offline,H,7/18/13,199424016,7/18/13
Middle East and North Africa,Saudi Arabia,Meat,Online,H,10/1/14,158260047,10/18/14
Europe,Romania,Cosmetics,Offline,M,6/22/11,605287301,7/30/11
Asia,Japan,Beverages,Online,C,10/24/13,187429606,11/6/13
Asia,Japan,Vegetables,Offline,C,3/24/10,771923291,3/30/10
Australia and Oceania,New Zealand,Personal Care,Online,M,9/26/16,696317183,10/16/16
Middle East and North Africa,Azerbaijan,Cereal,Online,H,7/24/12,618472611,8/12/12
Europe,Luxembourg,Snacks,Online,H,1/27/12,366563403,2/3/12
Europe,Iceland,Cereal,Offline,L,7/21/15,289075887,7/22/15
Asia,Myanmar,Personal Care,Online,M,12/26/12,804808890,1/1/13
Europe,Slovakia,Household,Offline,L,7/31/10,152873742,9/11/10
Sub-Saharan Africa,Uganda,Clothes,Offline,L,10/25/11,242694270,11/7/11
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Online,L,8/28/13,804006803,10/9/13
Asia,Japan,Snacks,Online,H,5/12/10,736860167,6/16/10
Sub-Saharan Africa,Seychelles ,Cosmetics,Offline,M,5/21/12,361615693,6/5/12
Sub-Saharan Africa,Zimbabwe,Cereal,Offline,H,4/29/12,968947207,6/10/12
Australia and Oceania,Samoa ,Meat,Online,L,5/31/11,769841039,7/7/11
Middle East and North Africa,Libya,Meat,Offline,L,9/23/15,745596015,10/6/15
Sub-Saharan Africa,Burundi,Household,Offline,H,4/9/17,597823464,5/25/17
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Online,M,11/24/12,998447215,1/11/13
Asia,Kazakhstan,Clothes,Offline,L,9/4/15,439703595,10/18/15
Asia,Bhutan,Snacks,Online,L,3/22/13,184141433,5/11/13
Europe,Greece,Personal Care,Offline,H,12/13/16,214622056,1/25/17
Asia,Taiwan,Meat,Online,H,10/27/12,584319293,12/6/12
Middle East and North Africa,Iraq,Snacks,Online,C,8/5/10,966719472,8/25/10
Sub-Saharan Africa,Rwanda,Baby Food,Offline,L,4/16/17,205621421,4/16/17
Europe,Belgium,Beverages,Offline,H,9/18/10,365136468,10/1/10
Asia,Tajikistan,Baby Food,Online,C,5/22/11,879688441,6/18/11
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,M,8/8/10,804013669,9/1/10
Asia,Tajikistan,Cosmetics,Online,M,1/26/12,163160979,2/20/12
Sub-Saharan Africa,Zambia,Cereal,Online,L,1/1/13,402491700,1/16/13
Europe,Albania,Clothes,Online,L,6/17/15,337679660,7/2/15
Middle East and North Africa,Syria,Household,Offline,H,12/27/14,204711186,1/8/15
Middle East and North Africa,Tunisia ,Clothes,Online,H,12/31/11,309885108,1/30/12
Central America and the Caribbean,Dominican Republic,Fruits,Offline,C,7/12/15,579812753,7/17/15
Australia and Oceania,Samoa ,Snacks,Offline,H,9/30/16,111417949,10/14/16
Australia and Oceania,Tuvalu,Beverages,Online,C,6/22/15,321937024,8/6/15
Central America and the Caribbean,Nicaragua,Clothes,Online,L,5/13/16,898918807,6/6/16
Sub-Saharan Africa,Gabon,Personal Care,Online,H,1/3/10,250224626,2/16/10
Central America and the Caribbean,Panama,Personal Care,Online,M,7/20/14,454028308,8/20/14
Europe,Malta,Beverages,Online,H,5/6/11,508816182,6/3/11
Sub-Saharan Africa,Benin,Meat,Online,H,11/21/16,383387076,12/6/16
Sub-Saharan Africa,Malawi,Vegetables,Online,C,11/17/10,566852319,12/23/10
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,L,9/22/15,718635737,10/15/15
Australia and Oceania,Marshall Islands,Beverages,Offline,C,1/14/17,118473660,2/2/17
Sub-Saharan Africa,Guinea-Bissau,Fruits,Offline,L,11/10/12,816414916,11/20/12
Middle East and North Africa,Afghanistan,Household,Online,L,6/7/17,882820832,7/19/17
Europe,Norway,Snacks,Online,H,12/29/11,258365237,2/15/12
Australia and Oceania,Palau,Cosmetics,Online,L,9/13/16,304034459,10/11/16
Europe,Georgia,Cereal,Offline,C,2/20/11,651127326,3/9/11
Middle East and North Africa,Jordan,Snacks,Online,H,10/23/13,551255166,11/9/13
Europe,Macedonia,Clothes,Online,M,3/19/10,226341807,4/2/10
Sub-Saharan Africa,Sudan,Beverages,Online,C,3/12/17,418623578,3/22/17
Sub-Saharan Africa,Mauritania,Office Supplies,Online,M,1/7/11,140649306,2/21/11
Europe,Estonia,Cosmetics,Offline,L,6/15/14,725280320,7/6/14
Australia and Oceania,Papua New Guinea,Fruits,Offline,L,4/2/17,875690448,5/2/17
Asia,Sri Lanka,Fruits,Offline,L,3/26/10,715366017,4/20/10
Central America and the Caribbean,The Bahamas,Fruits,Offline,C,10/15/11,438105857,10/15/11
Australia and Oceania,Vanuatu,Clothes,Online,H,1/27/11,758021295,2/7/11
Europe,Switzerland,Vegetables,Offline,C,4/2/17,659536159,4/3/17
Asia,South Korea,Personal Care,Offline,L,4/4/10,547386777,5/4/10
Australia and Oceania,Vanuatu,Baby Food,Online,M,9/25/12,896621978,11/5/12
Central America and the Caribbean,Costa Rica,Clothes,Online,M,7/14/10,902603089,8/28/10
Europe,Montenegro,Office Supplies,Offline,M,1/28/17,731003940,3/8/17
Asia,Tajikistan,Baby Food,Offline,M,7/20/16,167810857,8/21/16
Europe,Vatican City,Clothes,Offline,C,2/24/13,869322669,3/21/13
Europe,San Marino,Personal Care,Online,C,2/16/12,512150704,3/17/12
Middle East and North Africa,Iran,Household,Offline,C,1/6/16,443218791,2/23/16
Sub-Saharan Africa,Comoros,Clothes,Offline,M,4/7/13,729763257,5/17/13
Central America and the Caribbean,Barbados,Clothes,Offline,L,4/29/12,609332931,5/10/12
Asia,Taiwan,Vegetables,Offline,H,2/21/15,739789140,3/18/15
Asia,Tajikistan,Fruits,Offline,L,5/10/13,949305713,6/16/13
Middle East and North Africa,Somalia,Baby Food,Offline,H,10/31/14,686368978,11/11/14
Europe,Ukraine,Fruits,Online,L,2/15/17,369777762,2/20/17
Sub-Saharan Africa,Sudan,Cosmetics,Online,L,4/18/11,938643395,5/26/11
Sub-Saharan Africa,Burkina Faso,Office Supplies,Offline,L,12/20/15,702389705,1/2/16
Asia,Singapore,Cereal,Online,M,12/19/12,290753018,12/23/12
Sub-Saharan Africa,Kenya,Office Supplies,Offline,C,9/10/11,403782165,9/27/11
Middle East and North Africa,Kuwait,Meat,Offline,H,1/9/15,461838471,2/3/15
Middle East and North Africa,Tunisia ,Office Supplies,Offline,L,7/25/15,855595767,8/31/15
Sub-Saharan Africa,Republic of the Congo,Cereal,Online,H,7/15/14,696040380,8/10/14
Sub-Saharan Africa,Guinea,Meat,Offline,H,6/16/10,964471137,6/19/10
Europe,Portugal,Vegetables,Offline,L,6/21/10,462499368,8/6/10
Middle East and North Africa,Tunisia ,Meat,Offline,H,6/7/11,762048900,6/20/11
Europe,Serbia,Vegetables,Offline,L,4/5/11,355356061,5/9/11
Sub-Saharan Africa,Sudan,Clothes,Online,C,9/19/12,504969680,10/12/12
Asia,Mongolia,Cereal,Online,L,1/28/12,293751084,2/3/12
Asia,Myanmar,Clothes,Online,C,6/10/10,674874103,6/11/10
Sub-Saharan Africa,Mali,Cereal,Offline,L,7/25/17,421825063,9/1/17
North America,Greenland,Office Supplies,Offline,L,3/10/10,178402793,4/11/10
Europe,Portugal,Clothes,Online,M,7/20/11,208718621,8/5/11
Middle East and North Africa,Azerbaijan,Meat,Offline,L,11/16/11,847196376,11/24/11
Asia,Nepal,Office Supplies,Online,M,1/11/10,248572385,2/23/10
Asia,Turkmenistan,Personal Care,Offline,H,4/20/17,237895476,5/29/17
Asia,Brunei,Clothes,Online,L,10/4/15,460526978,11/5/15
Sub-Saharan Africa,South Sudan,Beverages,Offline,H,1/10/15,632140719,2/22/15
Sub-Saharan Africa,The Gambia,Personal Care,Online,C,8/29/10,988723027,9/6/10
Asia,Malaysia,Meat,Offline,L,8/20/10,936572730,8/22/10
Asia,Uzbekistan,Fruits,Offline,H,6/2/16,402301156,6/14/16
Central America and the Caribbean,Saint Lucia,Fruits,Offline,L,8/12/11,282832133,8/24/11
Middle East and North Africa,Kuwait,Snacks,Online,M,3/5/11,195401990,4/17/11
Sub-Saharan Africa,Guinea,Meat,Offline,L,3/11/12,727559554,4/10/12
Middle East and North Africa,Somalia,Vegetables,Offline,L,10/27/12,287166154,11/10/12
Sub-Saharan Africa,South Africa,Household,Offline,C,1/26/16,952395617,2/19/16
Sub-Saharan Africa,Mauritius ,Office Supplies,Online,M,11/11/10,821734273,11/13/10
Central America and the Caribbean,Jamaica,Clothes,Online,H,9/10/13,763980948,10/8/13
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,L,10/31/11,368246972,12/16/11
Australia and Oceania,New Zealand,Meat,Offline,M,7/17/12,193956172,8/23/12
Asia,India,Meat,Offline,H,8/2/16,420844876,9/17/16
Asia,North Korea,Office Supplies,Online,C,6/4/14,398961913,6/10/14
Asia,Brunei,Personal Care,Online,C,9/25/12,898668611,10/10/12
Europe,Croatia,Snacks,Online,M,6/19/15,960638797,6/26/15
Middle East and North Africa,Somalia,Vegetables,Offline,C,6/28/12,145858800,7/29/12
Europe,Netherlands,Clothes,Offline,M,9/6/13,785627448,9/28/13
Europe,Spain,Cosmetics,Online,L,10/28/14,331556069,11/27/14
Europe,Georgia,Beverages,Offline,C,7/22/16,805568492,9/5/16
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,L,1/5/13,249901044,1/20/13
Middle East and North Africa,Oman,Beverages,Online,H,10/1/10,377102553,11/2/10
Central America and the Caribbean,Dominican Republic,Fruits,Online,L,5/21/17,720034348,7/9/17
Europe,Russia,Cereal,Online,C,2/8/15,881870257,2/13/15
Middle East and North Africa,Yemen,Cereal,Online,H,6/10/17,986096608,6/16/17
Sub-Saharan Africa,Kenya,Fruits,Online,L,6/29/12,326512229,8/14/12
Sub-Saharan Africa,Cameroon,Cosmetics,Online,H,2/22/12,517228448,3/21/12
Asia,Maldives,Office Supplies,Online,M,5/27/10,542669093,7/14/10
Sub-Saharan Africa,Uganda,Meat,Offline,L,6/29/17,807570493,7/12/17
North America,Canada,Beverages,Online,L,8/19/10,886981475,9/7/10
Middle East and North Africa,Morocco,Baby Food,Online,H,7/11/13,876263368,8/6/13
Central America and the Caribbean,Costa Rica,Cosmetics,Online,L,11/17/16,941089999,12/17/16
Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,6/16/12,867447698,7/28/12
Sub-Saharan Africa,Sudan,Cosmetics,Online,H,1/9/12,511635291,1/20/12
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Offline,L,4/3/13,250264108,4/3/13
Europe,Iceland,Personal Care,Offline,M,2/12/11,530257976,2/21/11
Europe,Netherlands,Fruits,Online,M,10/10/16,518853223,10/11/16
Middle East and North Africa,Saudi Arabia,Cereal,Offline,M,12/18/15,353598678,1/17/16
Asia,Turkmenistan,Household,Offline,M,8/15/10,692355668,8/24/10
Sub-Saharan Africa,Swaziland,Beverages,Offline,L,2/11/15,463298022,3/27/15
Middle East and North Africa,Bahrain,Cereal,Online,C,8/2/14,914912068,8/2/14
Asia,Bangladesh,Baby Food,Offline,H,3/1/14,665996634,4/3/14
Europe,Finland,Beverages,Online,C,6/25/12,655663049,7/6/12
Europe,Switzerland,Fruits,Online,C,1/8/13,993335139,2/19/13
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,M,10/1/12,508749234,11/15/12
Central America and the Caribbean,Cuba,Cosmetics,Online,C,6/29/13,801954162,7/27/13
Central America and the Caribbean,El Salvador,Baby Food,Offline,H,7/25/10,393311250,8/7/10
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,9/13/11,573494327,9/23/11
Europe,Vatican City,Beverages,Online,H,7/25/10,453489720,9/6/10
Europe,Italy,Clothes,Online,H,3/27/13,114596259,4/18/13
Europe,Belgium,Fruits,Online,C,9/20/11,158425271,10/12/11
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,M,6/9/10,356900584,6/16/10
Australia and Oceania,Solomon Islands,Cosmetics,Online,C,11/20/14,102258527,11/22/14
Sub-Saharan Africa,Mauritius ,Beverages,Offline,H,9/7/12,657047927,10/1/12
Sub-Saharan Africa,Seychelles ,Clothes,Offline,H,3/31/15,204130113,5/18/15
Asia,Tajikistan,Cosmetics,Online,L,2/7/16,596678912,3/19/16
Europe,Slovenia,Meat,Online,C,6/8/17,608180654,7/11/17
Europe,Austria,Baby Food,Offline,H,2/17/11,882434165,3/30/11
Sub-Saharan Africa,Burundi,Clothes,Online,H,11/8/12,783550775,12/25/12
Middle East and North Africa,Turkey,Cereal,Offline,C,10/31/12,645954310,11/19/12
Europe,San Marino,Snacks,Offline,C,7/3/17,424381101,8/12/17
Middle East and North Africa,Lebanon,Cereal,Online,C,6/9/15,143879973,7/11/15
Middle East and North Africa,Iran,Personal Care,Offline,C,6/1/11,349812257,6/28/11
North America,Mexico,Fruits,Offline,C,1/25/15,757851779,3/15/15
Europe,Denmark,Household,Offline,M,5/18/14,703984868,6/20/14
Australia and Oceania,New Zealand,Meat,Offline,M,4/26/17,494510352,4/28/17
Sub-Saharan Africa,Eritrea,Vegetables,Online,M,3/18/10,956039559,5/4/10
Europe,Iceland,Clothes,Offline,L,7/11/14,285496318,8/19/14
Europe,Portugal,Baby Food,Offline,C,12/3/14,800116956,12/21/14
Australia and Oceania,Papua New Guinea,Meat,Online,C,1/24/16,387450301,2/6/16
Sub-Saharan Africa,Lesotho,Vegetables,Offline,L,2/10/16,155357682,2/22/16
Middle East and North Africa,Egypt,Beverages,Online,M,6/29/10,382012927,8/14/10
Europe,Albania,Cosmetics,Online,C,11/7/10,965902364,11/11/10
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,H,12/20/10,975824820,1/8/11
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,Offline,L,4/3/13,900891625,5/7/13
Europe,Czech Republic,Beverages,Offline,H,5/28/17,400526607,6/26/17
Middle East and North Africa,Iran,Vegetables,Online,C,8/9/16,554466092,8/9/16
Europe,Italy,Clothes,Online,L,6/18/16,712758910,7/19/16
Australia and Oceania,Marshall Islands,Clothes,Offline,L,1/30/16,745766389,2/16/16
Middle East and North Africa,Tunisia ,Beverages,Offline,C,11/3/11,594162356,12/18/11
Central America and the Caribbean,Costa Rica,Household,Offline,L,4/29/16,718933141,5/11/16
Central America and the Caribbean,El Salvador,Meat,Online,C,9/11/16,751377570,9/15/16
Sub-Saharan Africa,South Africa,Personal Care,Offline,M,4/22/16,843106973,5/14/16
Europe,France,Fruits,Offline,L,10/19/15,316045176,10/21/15
Sub-Saharan Africa,South Sudan,Personal Care,Online,M,11/16/16,812428510,1/3/17
Sub-Saharan Africa,Cameroon,Household,Online,H,12/15/10,444805800,2/1/11
Sub-Saharan Africa,Togo,Meat,Offline,C,3/21/13,546038377,3/25/13
Asia,Indonesia,Cereal,Offline,M,6/6/13,719300067,6/14/13
Europe,Slovakia,Cereal,Online,C,7/20/17,188077199,8/5/17
Asia,Laos,Meat,Offline,L,9/3/13,946168601,9/22/13
Europe,Netherlands,Clothes,Online,L,9/7/13,107685601,9/29/13
Sub-Saharan Africa,Chad,Household,Offline,H,8/6/11,257052028,8/28/11
Sub-Saharan Africa,Mauritius ,Personal Care,Offline,L,1/22/10,899004209,2/15/10
Asia,Turkmenistan,Cereal,Offline,H,7/28/16,708590972,8/23/16
Sub-Saharan Africa,Uganda,Office Supplies,Online,H,12/28/16,681173646,2/1/17
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,C,2/27/17,982426059,4/18/17
Middle East and North Africa,United Arab Emirates,Cereal,Online,C,5/31/16,498334538,6/30/16
Europe,Belgium,Clothes,Online,L,5/16/11,885197913,6/11/11
Sub-Saharan Africa,Cape Verde,Beverages,Online,L,11/10/14,719627511,12/29/14
Central America and the Caribbean,Saint Kitts and Nevis ,Clothes,Offline,C,4/7/14,448547160,5/27/14
Middle East and North Africa,Somalia,Baby Food,Offline,L,3/9/13,139193189,4/20/13
Australia and Oceania,Papua New Guinea,Household,Online,H,7/1/12,829114425,7/29/12
Middle East and North Africa,Libya,Fruits,Offline,H,2/22/14,476172196,3/16/14
Sub-Saharan Africa,Republic of the Congo,Clothes,Online,H,5/6/17,708540332,6/5/17
Middle East and North Africa,Afghanistan,Office Supplies,Online,C,10/23/14,974705159,11/8/14
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Offline,H,9/5/11,793465507,10/14/11
Sub-Saharan Africa,Seychelles ,Snacks,Online,L,2/22/14,203932702,3/7/14
Europe,Liechtenstein,Vegetables,Offline,M,7/20/10,215530574,9/6/10
Europe,Latvia,Household,Online,C,1/2/13,557995450,1/14/13
Europe,Norway,Cereal,Online,H,10/8/15,131376159,10/24/15
Asia,South Korea,Clothes,Offline,M,2/23/14,156034028,3/24/14
Asia,Sri Lanka,Household,Offline,C,11/19/15,122642886,12/1/15
Europe,Kosovo,Snacks,Online,M,8/20/14,942189061,9/27/14
Asia,Malaysia,Cereal,Online,M,6/27/16,895971381,7/15/16
Middle East and North Africa,Lebanon,Fruits,Offline,H,6/9/13,585601174,7/7/13
Middle East and North Africa,Syria,Cosmetics,Offline,L,6/28/17,683002269,7/28/17
North America,Mexico,Fruits,Online,M,6/1/11,580410993,7/21/11
Sub-Saharan Africa,Mauritius ,Fruits,Offline,C,2/15/13,640376174,2/18/13
Sub-Saharan Africa,Chad,Personal Care,Online,H,4/25/11,845759141,5/12/11
Middle East and North Africa,Morocco,Snacks,Online,C,8/31/14,349733722,9/8/14
Middle East and North Africa,Tunisia ,Cereal,Online,H,3/17/10,625786244,3/23/10
Asia,Singapore,Clothes,Online,C,7/19/12,517715537,8/16/12
Australia and Oceania,Papua New Guinea,Baby Food,Online,H,8/20/14,289632928,8/25/14
Europe,Macedonia,Beverages,Online,H,4/7/14,275962245,4/14/14
Australia and Oceania,Australia,Meat,Offline,L,4/22/10,431439816,5/7/10
Europe,Denmark,Snacks,Online,C,1/16/14,781114470,1/17/14
Europe,Liechtenstein,Personal Care,Offline,M,2/12/15,970347535,4/3/15
Middle East and North Africa,Yemen,Clothes,Offline,C,8/1/15,714812839,9/3/15
Australia and Oceania,Palau,Beverages,Online,C,12/30/10,250496709,2/3/11
Sub-Saharan Africa,Uganda,Clothes,Offline,L,11/25/16,783697974,12/26/16
Europe,Lithuania,Clothes,Offline,H,1/19/12,441027963,1/27/12
Middle East and North Africa,Egypt,Meat,Offline,C,5/3/10,119410502,6/15/10
Sub-Saharan Africa,Lesotho,Vegetables,Offline,C,7/27/11,336081922,8/18/11
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,M,11/2/12,778591048,11/26/12
Europe,Latvia,Meat,Online,C,4/19/12,754799211,5/28/12
Europe,Vatican City,Vegetables,Offline,M,12/16/12,542880237,1/31/13
Sub-Saharan Africa,Liberia,Baby Food,Offline,M,4/26/11,941320455,6/1/11
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,4/16/16,118918693,5/25/16
Sub-Saharan Africa,Guinea,Fruits,Online,H,2/25/15,364786279,4/16/15
Sub-Saharan Africa,Ethiopia,Meat,Offline,M,3/4/15,438347041,4/23/15
Europe,Italy,Fruits,Online,H,2/5/17,519337308,3/10/17
Sub-Saharan Africa,Kenya,Fruits,Online,L,5/28/11,857805907,6/30/11
Australia and Oceania,Kiribati,Cereal,Offline,M,4/30/12,424114167,6/17/12
Middle East and North Africa,Somalia,Fruits,Offline,C,4/4/16,958935916,4/15/16
Australia and Oceania,Samoa ,Fruits,Offline,M,1/23/13,223257482,2/13/13
Sub-Saharan Africa,Mali,Meat,Online,C,8/11/12,548377692,8/25/12
Europe,Bosnia and Herzegovina,Fruits,Offline,M,9/10/10,285907876,10/21/10
Europe,Lithuania,Snacks,Online,L,7/8/15,557771861,8/16/15
Australia and Oceania,Papua New Guinea,Cosmetics,Online,L,8/23/13,306205976,8/31/13
Middle East and North Africa,Oman,Household,Online,L,8/19/11,343759047,9/29/11
Europe,Andorra,Baby Food,Online,L,2/6/17,203292405,3/16/17
Sub-Saharan Africa,Angola,Vegetables,Online,H,3/25/12,387979876,5/5/12
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Offline,C,7/23/10,121307790,7/26/10
Europe,Luxembourg,Snacks,Offline,C,4/30/15,497074973,5/20/15
Middle East and North Africa,United Arab Emirates,Meat,Offline,H,9/14/15,429392755,10/30/15
Europe,Latvia,Cereal,Online,H,4/7/13,702684962,5/1/13
Sub-Saharan Africa,Liberia,Snacks,Offline,H,9/2/10,821687924,9/15/10
Sub-Saharan Africa,Madagascar,Office Supplies,Offline,C,6/2/15,361450469,6/12/15
Sub-Saharan Africa,Angola,Cereal,Online,M,5/11/13,317333924,6/2/13
Asia,India,Fruits,Online,L,5/4/10,855012118,6/21/10
Europe,Moldova ,Beverages,Offline,H,4/8/13,860471379,5/25/13
Sub-Saharan Africa,Kenya,Meat,Online,M,3/11/11,190010535,3/29/11
Sub-Saharan Africa,Swaziland,Snacks,Offline,C,12/7/16,120240914,1/1/17
Australia and Oceania,Palau,Cereal,Offline,C,4/24/10,198086345,5/12/10
Asia,Philippines,Beverages,Online,H,1/26/10,490783154,2/4/10
Sub-Saharan Africa,Ghana,Vegetables,Offline,M,1/30/17,235880172,2/2/17
Europe,France,Cereal,Online,H,7/28/10,991238725,8/10/10
Central America and the Caribbean,Guatemala,Clothes,Online,L,6/23/12,785032641,8/6/12
Middle East and North Africa,Kuwait,Beverages,Offline,M,7/6/15,865748250,7/17/15
Middle East and North Africa,Bahrain,Cosmetics,Online,M,3/27/17,752184379,4/18/17
Europe,Netherlands,Beverages,Online,L,4/12/16,483452355,5/25/16
Europe,Greece,Meat,Online,H,2/15/16,168976008,3/18/16
Asia,Uzbekistan,Cosmetics,Offline,L,9/26/13,438491666,10/5/13
Europe,Ireland,Fruits,Online,C,12/11/10,192048156,1/12/11
Central America and the Caribbean,Cuba,Household,Offline,C,8/19/10,650006806,9/11/10
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Online,M,12/19/12,403041446,1/30/13
Europe,Czech Republic,Baby Food,Offline,C,8/11/11,362138402,8/22/11
Sub-Saharan Africa,Mauritania,Household,Online,H,8/21/12,608596503,10/3/12
Middle East and North Africa,Egypt,Meat,Online,C,8/20/15,844027078,8/31/15
Sub-Saharan Africa,Nigeria,Fruits,Online,M,6/11/17,840353953,7/11/17
Middle East and North Africa,Bahrain,Office Supplies,Online,M,12/28/15,889813458,1/22/16
Sub-Saharan Africa,Sudan,Snacks,Online,H,1/15/14,454954421,1/25/14
Central America and the Caribbean,Haiti,Household,Online,M,6/7/15,418638169,6/22/15
Europe,Hungary,Personal Care,Offline,H,9/13/13,834038531,9/17/13
Asia,Kyrgyzstan,Snacks,Online,C,1/10/11,474641835,1/18/11
Australia and Oceania,Tonga,Clothes,Online,C,6/10/14,884246909,7/24/14
Europe,Croatia,Vegetables,Online,L,11/20/16,526965081,1/2/17
Central America and the Caribbean,Saint Lucia,Beverages,Online,C,3/3/16,637220180,3/26/16
Europe,Moldova ,Office Supplies,Online,L,2/25/11,269748532,3/16/11
Europe,Vatican City,Clothes,Online,M,2/14/13,349598968,2/14/13
Sub-Saharan Africa,Cameroon,Snacks,Offline,M,9/20/11,522132813,9/21/11
Asia,Kyrgyzstan,Meat,Offline,M,7/27/16,503023898,9/10/16
Sub-Saharan Africa,Angola,Vegetables,Offline,L,8/29/15,528258550,9/13/15
Sub-Saharan Africa,Zimbabwe,Cereal,Offline,C,12/15/16,904135596,1/22/17
Asia,Uzbekistan,Fruits,Online,H,5/13/14,657266366,7/2/14
Asia,India,Office Supplies,Offline,L,3/12/14,684574687,4/6/14
Middle East and North Africa,Iran,Snacks,Online,C,4/5/16,603296887,4/9/16
Central America and the Caribbean,Barbados,Beverages,Offline,M,1/31/10,100981795,2/13/10
Asia,Laos,Beverages,Offline,M,7/14/16,285490739,8/27/16
Australia and Oceania,Nauru,Beverages,Online,C,11/25/15,534997546,12/18/15
Europe,Hungary,Cereal,Online,L,4/2/12,747988545,5/17/12
Sub-Saharan Africa,Sierra Leone,Meat,Offline,L,7/7/14,893262565,8/13/14
Sub-Saharan Africa,Sudan,Beverages,Online,L,7/11/17,559930932,8/24/17
Middle East and North Africa,Somalia,Vegetables,Online,C,5/29/13,307417476,7/16/13
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,Offline,M,6/29/10,315458524,8/11/10
Middle East and North Africa,Somalia,Baby Food,Online,C,5/22/14,834102904,6/4/14
Australia and Oceania,Tuvalu,Personal Care,Online,L,8/16/16,833711946,8/21/16
Europe,Belgium,Clothes,Online,C,7/31/13,254959475,8/4/13
Europe,Montenegro,Baby Food,Offline,L,4/10/10,458831822,4/18/10
Asia,Myanmar,Household,Offline,H,7/28/16,176627814,7/31/16
Sub-Saharan Africa,Malawi,Cereal,Online,L,2/13/13,459958779,3/24/13
North America,Canada,Meat,Offline,H,9/15/15,630748546,9/18/15
Asia,Thailand,Baby Food,Offline,M,11/19/10,531233441,1/6/11
Sub-Saharan Africa,Mauritania,Clothes,Offline,M,10/13/12,973962295,10/25/12
Sub-Saharan Africa,Republic of the Congo,Household,Online,M,11/18/13,591796433,1/7/14
Europe,France,Clothes,Offline,H,7/3/11,787909686,7/3/11
Asia,Tajikistan,Household,Offline,M,8/12/11,785788381,8/31/11
Sub-Saharan Africa,Mauritius ,Office Supplies,Offline,L,6/15/17,779231345,8/4/17
Asia,Vietnam,Meat,Offline,H,8/14/10,582349908,9/30/10
Middle East and North Africa,Algeria,Household,Offline,M,5/29/15,979567897,6/2/15
Sub-Saharan Africa,Namibia,Fruits,Online,L,10/3/11,575621640,11/3/11
Europe,United Kingdom,Beverages,Online,C,9/26/14,745559966,10/18/14
Europe,Serbia,Beverages,Offline,C,3/14/10,684744203,4/21/10
Europe,Georgia,Meat,Online,L,7/25/11,558848178,8/17/11
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,L,8/6/10,153858220,9/16/10
Europe,Cyprus,Meat,Online,M,6/26/11,226073157,8/4/11
Middle East and North Africa,Algeria,Baby Food,Online,L,11/29/11,252104318,12/29/11
Europe,Georgia,Personal Care,Offline,H,5/29/14,678875529,6/12/14
Asia,Cambodia,Baby Food,Offline,H,12/31/14,673623120,1/5/15
