Region,Country,Item Type,Sales Channel,Order Priority,Order Date
Europe,Romania,Cereal,Online,H,9/20/14
Sub-Saharan Africa,Mauritania,Meat,Online,M,4/14/11
Central America and the Caribbean,Barbados,Cosmetics,Online,H,7/24/10
Sub-Saharan Africa,Angola,Fruits,Offline,M,3/7/11
Europe,Moldova ,Office Supplies,Online,H,8/14/16
Asia,Mongolia,Clothes,Offline,L,4/13/16
Middle East and North Africa,Saudi Arabia,Meat,Online,H,12/27/11
Europe,Ireland,Clothes,Online,C,3/13/14
Europe,Luxembourg,Household,Offline,H,7/4/15
Asia,Singapore,Baby Food,Online,M,2/21/17
Central America and the Caribbean,Nicaragua,Snacks,Offline,L,1/17/10
Asia,North Korea,Beverages,Offline,L,7/4/16
Sub-Saharan Africa,Mauritius ,Beverages,Online,L,8/31/10
Europe,Andorra,Meat,Online,C,2/25/13
Middle East and North Africa,Algeria,Vegetables,Offline,M,8/6/11
Asia,Maldives,Clothes,Offline,M,5/26/17
Asia,Kyrgyzstan,Office Supplies,Online,M,7/14/16
Asia,Bhutan,Office Supplies,Online,H,3/6/11
Middle East and North Africa,Morocco,Cosmetics,Online,H,12/5/15
Sub-Saharan Africa,Sierra Leone,Clothes,Online,M,3/1/16
North America,Greenland,Vegetables,Offline,H,4/5/17
Sub-Saharan Africa,Central African Republic,Beverages,Online,C,7/3/10
Middle East and North Africa,Morocco,Personal Care,Offline,L,10/5/14
Sub-Saharan Africa,Mauritius ,Beverages,Online,L,2/3/12
Sub-Saharan Africa,Angola,Baby Food,Online,L,2/17/12
Sub-Saharan Africa,Guinea,Vegetables,Online,M,6/4/10
Central America and the Caribbean,The Bahamas,Clothes,Offline,H,12/15/14
Europe,France,Personal Care,Online,C,1/16/12
Sub-Saharan Africa,Niger,Personal Care,Online,M,7/31/15
Central America and the Caribbean,Haiti,Snacks,Online,L,3/25/10
Sub-Saharan Africa,Angola,Beverages,Online,H,10/21/15
Sub-Saharan Africa,Seychelles ,Baby Food,Offline,L,4/23/15
Europe,Romania,Fruits,Online,M,10/3/11
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,C,10/12/16
Australia and Oceania,East Timor,Office Supplies,Online,L,8/4/16
Sub-Saharan Africa,The Gambia,Fruits,Offline,L,8/10/13
Australia and Oceania,Palau,Fruits,Online,C,2/2/15
Middle East and North Africa,United Arab Emirates,Beverages,Online,L,3/22/14
Sub-Saharan Africa,Gabon,Fruits,Online,L,8/13/16
Europe,Norway,Household,Offline,C,10/19/13
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Offline,C,4/20/17
Sub-Saharan Africa,South Africa,Baby Food,Online,M,12/27/16
Central America and the Caribbean,The Bahamas,Snacks,Online,C,3/1/15
Europe,Estonia,Office Supplies,Online,L,3/7/15
Middle East and North Africa,Egypt,Cosmetics,Offline,M,2/9/10
Sub-Saharan Africa,Tanzania,Baby Food,Offline,H,10/19/16
Sub-Saharan Africa,Equatorial Guinea,Fruits,Online,C,7/9/11
Sub-Saharan Africa,Niger,Clothes,Offline,C,1/12/17
Sub-Saharan Africa,Cape Verde,Meat,Offline,L,7/10/15
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Offline,L,12/11/12
Sub-Saharan Africa,Chad,Snacks,Offline,M,7/21/12
Europe,Finland,Snacks,Offline,M,1/29/11
Sub-Saharan Africa,Chad,Baby Food,Online,H,2/8/10
Sub-Saharan Africa,The Gambia,Clothes,Offline,H,4/15/12
Sub-Saharan Africa,Sierra Leone,Household,Offline,M,7/22/17
Middle East and North Africa,Yemen,Beverages,Online,H,10/3/11
Central America and the Caribbean,Haiti,Baby Food,Online,M,11/17/15
Europe,Malta,Baby Food,Offline,L,2/12/14
Central America and the Caribbean,Jamaica,Cereal,Online,C,8/31/10
Asia,Cambodia,Fruits,Online,L,10/10/10
Sub-Saharan Africa,Mauritius ,Household,Online,H,12/22/16
Asia,Sri Lanka,Baby Food,Offline,H,2/24/10
Europe,Ireland,Fruits,Offline,H,11/22/13
Asia,Bangladesh,Cereal,Online,L,1/1/15
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,L,9/9/12
Middle East and North Africa,Saudi Arabia,Cereal,Online,L,10/28/14
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,H,5/21/11
Central America and the Caribbean,Honduras,Meat,Online,H,2/26/16
Sub-Saharan Africa,Ghana,Snacks,Online,L,6/17/17
Middle East and North Africa,Lebanon,Office Supplies,Offline,H,4/12/12
North America,Mexico,Snacks,Online,L,1/1/10
Europe,Armenia,Snacks,Online,M,7/10/13
Europe,Bulgaria,Clothes,Offline,L,6/6/15
Europe,Luxembourg,Fruits,Offline,C,12/14/16
Sub-Saharan Africa,Gabon,Personal Care,Online,H,8/11/16
Europe,Kosovo,Fruits,Offline,H,12/20/13
Sub-Saharan Africa,Lesotho,Cosmetics,Online,H,6/16/13
Europe,Albania,Snacks,Online,L,12/29/12
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,H,5/8/15
Europe,Germany,Baby Food,Online,M,10/13/16
Central America and the Caribbean,Dominican Republic,Vegetables,Online,L,11/2/10
Middle East and North Africa,Kuwait,Vegetables,Offline,L,11/1/14
Europe,Romania,Fruits,Offline,H,1/31/13
Central America and the Caribbean,Dominica,Fruits,Online,L,9/7/13
Asia,Uzbekistan,Meat,Online,C,6/7/14
Central America and the Caribbean,Cuba,Beverages,Online,C,3/11/14
Sub-Saharan Africa,Kenya,Personal Care,Offline,C,9/5/16
Europe,Serbia,Fruits,Online,M,7/14/11
Sub-Saharan Africa,Namibia,Snacks,Offline,C,12/16/15
Sub-Saharan Africa,Nigeria,Beverages,Offline,H,5/10/10
Australia and Oceania,Federated States of Micronesia,Fruits,Online,M,4/12/10
Europe,Poland,Fruits,Online,C,3/12/17
Asia,Laos,Personal Care,Online,C,9/14/14
Europe,Iceland,Meat,Online,C,3/10/10
Europe,Greece,Office Supplies,Online,C,11/21/15
Sub-Saharan Africa,Uganda,Office Supplies,Online,H,10/23/14
Middle East and North Africa,Yemen,Beverages,Offline,L,7/14/17
Central America and the Caribbean,El Salvador,Snacks,Offline,L,12/25/12
Europe,Netherlands,Fruits,Online,M,1/30/10
Middle East and North Africa,Syria,Cereal,Online,H,3/31/11
Sub-Saharan Africa,Namibia,Cosmetics,Offline,M,3/1/16
Sub-Saharan Africa,Uganda,Fruits,Online,C,6/15/10
Central America and the Caribbean,Dominican Republic,Cereal,Offline,L,11/13/14
Sub-Saharan Africa,South Sudan,Fruits,Offline,H,5/12/13
Middle East and North Africa,Azerbaijan,Office Supplies,Online,H,6/17/17
Sub-Saharan Africa,Comoros,Snacks,Offline,L,1/14/17
Middle East and North Africa,Libya,Cereal,Online,H,5/23/14
Middle East and North Africa,Morocco,Vegetables,Online,C,11/16/12
Sub-Saharan Africa,Benin,Baby Food,Online,C,2/20/13
Europe,Malta,Beverages,Offline,L,11/17/16
Sub-Saharan Africa,Chad,Meat,Online,M,7/6/15
Central America and the Caribbean,Saint Lucia,Meat,Online,L,8/26/16
Sub-Saharan Africa,The Gambia,Baby Food,Offline,L,1/22/10
Europe,Montenegro,Clothes,Online,C,11/3/16
Europe,Slovakia,Meat,Offline,C,7/10/17
Central America and the Caribbean,El Salvador,Beverages,Online,H,5/29/16
Sub-Saharan Africa,Niger,Clothes,Online,M,2/2/15
Middle East and North Africa,Egypt,Vegetables,Offline,C,3/19/16
Australia and Oceania,Palau,Vegetables,Offline,M,2/20/12
Europe,Romania,Beverages,Offline,L,6/8/11
Europe,Bulgaria,Office Supplies,Online,H,5/14/12
Asia,China,Cosmetics,Online,H,4/14/14
North America,Greenland,Cosmetics,Offline,C,10/18/13
Central America and the Caribbean,Trinidad and Tobago,Personal Care,Online,H,2/29/16
Central America and the Caribbean,Cuba,Vegetables,Offline,H,5/3/16
Europe,Lithuania,Fruits,Offline,C,5/7/10
Central America and the Caribbean,Haiti,Vegetables,Offline,L,3/20/14
Central America and the Caribbean,Cuba,Cosmetics,Offline,C,9/27/14
Asia,Kyrgyzstan,Meat,Offline,M,2/19/11
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Offline,H,4/6/11
Central America and the Caribbean,Grenada,Beverages,Offline,M,9/7/12
Central America and the Caribbean,Saint Kitts and Nevis ,Beverages,Offline,M,1/11/14
Middle East and North Africa,Azerbaijan,Vegetables,Offline,C,3/15/11
Europe,Ireland,Vegetables,Online,H,4/27/16
Sub-Saharan Africa,Uganda,Fruits,Offline,L,1/24/16
Middle East and North Africa,Somalia,Cereal,Online,H,4/27/13
Europe,Albania,Beverages,Offline,M,10/29/15
Sub-Saharan Africa,Kenya,Clothes,Online,L,3/29/17
Australia and Oceania,Fiji,Meat,Offline,C,1/28/16
Sub-Saharan Africa,Madagascar,Snacks,Online,C,11/26/11
Sub-Saharan Africa,Mauritania,Personal Care,Offline,H,9/21/16
Europe,Estonia,Vegetables,Online,C,4/23/13
Asia,Myanmar,Snacks,Offline,M,1/2/12
Sub-Saharan Africa,Chad,Vegetables,Offline,C,8/22/16
Middle East and North Africa,Israel,Meat,Offline,M,3/9/13
Europe,Norway,Office Supplies,Online,L,5/24/11
Sub-Saharan Africa,Kenya,Personal Care,Offline,M,9/19/10
Europe,Iceland,Beverages,Online,H,9/5/11
Sub-Saharan Africa,Madagascar,Snacks,Online,L,1/29/12
Europe,Vatican City,Cereal,Offline,H,10/12/10
Europe,Luxembourg,Snacks,Offline,L,7/3/11
Middle East and North Africa,Morocco,Snacks,Offline,M,6/14/11
Asia,South Korea,Snacks,Online,M,9/7/12
Australia and Oceania,Samoa ,Household,Online,M,10/5/10
Europe,Latvia,Beverages,Online,H,8/25/13
Central America and the Caribbean,Jamaica,Cereal,Offline,C,4/1/15
Europe,Greece,Snacks,Offline,L,4/20/14
Middle East and North Africa,Lebanon,Vegetables,Offline,H,8/16/10
Asia,Turkmenistan,Baby Food,Online,H,6/13/16
Asia,Cambodia,Cosmetics,Offline,C,10/14/14
Asia,Thailand,Beverages,Offline,H,3/19/16
Central America and the Caribbean,Haiti,Fruits,Offline,C,3/26/17
Asia,China,Vegetables,Online,M,8/14/11
Sub-Saharan Africa,Madagascar,Cereal,Online,H,12/5/16
Sub-Saharan Africa,Gabon,Fruits,Online,H,2/21/10
Central America and the Caribbean,Honduras,Clothes,Offline,L,9/25/14
Europe,Slovakia,Cosmetics,Offline,H,8/5/13
Europe,Hungary,Cereal,Online,L,5/25/13
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,M,7/10/10
Central America and the Caribbean,Haiti,Beverages,Offline,C,7/24/17
Australia and Oceania,Australia,Personal Care,Offline,L,2/3/14
Asia,Vietnam,Meat,Offline,M,1/18/11
Middle East and North Africa,Qatar,Baby Food,Online,M,8/22/16
Asia,Brunei,Cereal,Online,M,6/7/17
Sub-Saharan Africa,Equatorial Guinea,Beverages,Online,M,5/27/12
Europe,United Kingdom,Meat,Online,L,9/30/16
Sub-Saharan Africa,Sudan,Clothes,Offline,C,8/24/12
Middle East and North Africa,Pakistan,Office Supplies,Online,L,8/21/13
Europe,Estonia,Office Supplies,Offline,L,5/23/15
Sub-Saharan Africa,Zimbabwe,Fruits,Online,M,8/21/14
Asia,India,Household,Online,C,12/20/12
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,1/14/13
Asia,Thailand,Cosmetics,Online,L,10/8/14
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Online,M,8/2/11
Asia,Laos,Cereal,Online,M,11/27/16
Sub-Saharan Africa,Cape Verde,Meat,Offline,C,12/4/14
Europe,Ukraine,Meat,Offline,H,5/28/17
Europe,Georgia,Baby Food,Offline,H,6/14/14
Europe,Lithuania,Cereal,Online,L,3/3/16
Sub-Saharan Africa,Ghana,Household,Offline,C,1/7/11
Sub-Saharan Africa,Zambia,Personal Care,Online,M,1/5/15
Middle East and North Africa,Oman,Office Supplies,Online,H,12/14/14
Europe,Poland,Baby Food,Online,L,1/20/10
Europe,Albania,Beverages,Offline,H,10/1/15
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,H,6/16/14
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,C,5/17/12
Central America and the Caribbean,Honduras,Cereal,Online,H,12/27/12
Central America and the Caribbean,Honduras,Office Supplies,Offline,M,4/7/13
Europe,Estonia,Snacks,Offline,L,1/10/15
Middle East and North Africa,Yemen,Meat,Online,H,8/4/13
Europe,Belgium,Vegetables,Offline,M,9/11/16
Middle East and North Africa,Morocco,Office Supplies,Online,L,6/5/10
Middle East and North Africa,Iraq,Personal Care,Online,C,1/6/16
Middle East and North Africa,United Arab Emirates,Meat,Offline,H,4/24/10
Sub-Saharan Africa,Uganda,Cosmetics,Online,M,11/21/12
Europe,Poland,Cereal,Online,H,2/5/14
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Offline,H,9/14/16
Asia,Sri Lanka,Beverages,Online,L,12/20/16
Sub-Saharan Africa,Rwanda,Clothes,Offline,H,1/4/16
Sub-Saharan Africa,Ghana,Household,Online,C,12/31/15
Middle East and North Africa,Azerbaijan,Baby Food,Online,C,5/24/16
Middle East and North Africa,Oman,Snacks,Offline,C,2/22/10
Europe,United Kingdom,Vegetables,Offline,C,3/13/10
North America,Canada,Meat,Offline,L,6/1/15
Asia,Sri Lanka,Fruits,Online,M,5/15/14
Asia,Bangladesh,Meat,Offline,C,11/3/11
Europe,Finland,Cereal,Offline,M,6/17/17
Middle East and North Africa,Iran,Personal Care,Offline,L,8/21/11
Sub-Saharan Africa,Uganda,Snacks,Online,H,6/29/17
Sub-Saharan Africa,Senegal,Cosmetics,Online,M,10/9/13
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Online,L,5/16/14
Asia,Nepal,Vegetables,Offline,C,7/13/11
Australia and Oceania,New Zealand,Snacks,Offline,M,6/25/17
Middle East and North Africa,Jordan,Baby Food,Online,C,3/27/15
Asia,North Korea,Baby Food,Offline,C,5/15/15
Sub-Saharan Africa,Cape Verde,Snacks,Offline,L,5/20/14
Sub-Saharan Africa,Botswana,Household,Online,L,8/17/13
Europe,Luxembourg,Fruits,Offline,H,7/8/15
Sub-Saharan Africa,Eritrea,Personal Care,Online,H,3/2/12
Europe,Italy,Vegetables,Offline,M,11/30/11
Europe,Norway,Office Supplies,Offline,H,10/16/12
Australia and Oceania,East Timor,Cereal,Online,H,11/26/13
Middle East and North Africa,Libya,Fruits,Online,H,8/18/11
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,L,12/26/10
Sub-Saharan Africa,Central African Republic,Fruits,Offline,M,4/8/14
Asia,Vietnam,Snacks,Offline,H,4/7/17
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,M,1/16/13
Sub-Saharan Africa,Benin,Office Supplies,Online,M,11/19/10
Sub-Saharan Africa,Namibia,Personal Care,Online,L,5/4/17
Europe,Portugal,Household,Offline,H,4/25/17
Asia,Malaysia,Household,Offline,M,9/15/15
Asia,Laos,Fruits,Offline,M,11/27/10
Middle East and North Africa,Syria,Meat,Offline,C,9/24/13
Europe,Belarus,Clothes,Offline,C,5/5/13
Europe,Armenia,Snacks,Offline,L,4/30/11
Middle East and North Africa,Israel,Cereal,Offline,C,5/3/10
Europe,Georgia,Cosmetics,Online,H,4/20/10
Asia,Kazakhstan,Vegetables,Online,L,3/18/12
Sub-Saharan Africa,Swaziland,Beverages,Offline,C,5/7/14
Europe,Macedonia,Baby Food,Online,C,1/15/16
Central America and the Caribbean,The Bahamas,Beverages,Offline,L,11/29/13
Asia,Taiwan,Personal Care,Offline,H,3/19/13
Europe,Belarus,Cosmetics,Online,M,6/24/16
Middle East and North Africa,Israel,Fruits,Offline,M,2/29/12
Europe,Albania,Baby Food,Offline,M,4/13/16
Australia and Oceania,Australia,Snacks,Offline,C,8/21/15
Sub-Saharan Africa,Zambia,Clothes,Offline,H,1/6/17
Sub-Saharan Africa,Sudan,Cereal,Online,M,2/19/13
Sub-Saharan Africa,Swaziland,Meat,Online,H,9/13/16
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,L,3/14/11
Asia,Uzbekistan,Beverages,Offline,C,4/2/15
Australia and Oceania,Australia,Household,Online,C,9/6/10
Sub-Saharan Africa,Namibia,Household,Online,H,6/18/14
Europe,Georgia,Cereal,Online,L,5/3/14
Europe,Italy,Baby Food,Offline,C,6/20/10
Sub-Saharan Africa,Chad,Cosmetics,Offline,H,8/29/11
Europe,Slovakia,Snacks,Offline,M,6/4/16
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,L,10/6/16
Asia,South Korea,Baby Food,Offline,C,2/7/17
Central America and the Caribbean,Saint Lucia,Baby Food,Offline,C,5/12/15
Europe,Andorra,Cereal,Online,C,4/22/14
Central America and the Caribbean,Costa Rica,Household,Offline,L,3/15/10
Central America and the Caribbean,Barbados,Vegetables,Online,L,9/25/11
Asia,Uzbekistan,Cosmetics,Offline,M,7/3/13
Central America and the Caribbean,Grenada,Household,Online,L,12/21/14
Asia,Turkmenistan,Beverages,Online,H,8/28/16
Europe,Bulgaria,Cereal,Offline,M,5/12/16
Central America and the Caribbean,Grenada,Baby Food,Offline,M,12/12/12
Sub-Saharan Africa,Sierra Leone,Beverages,Offline,C,2/19/10
Sub-Saharan Africa,Sao Tome and Principe,Office Supplies,Offline,L,9/13/12
Sub-Saharan Africa,Central African Republic,Meat,Online,M,2/19/15
Europe,Monaco,Clothes,Online,M,12/27/12
Europe,San Marino,Snacks,Online,H,3/27/14
Middle East and North Africa,Afghanistan,Vegetables,Offline,M,10/9/12
Asia,Uzbekistan,Snacks,Online,H,12/1/14
Asia,Kazakhstan,Meat,Offline,C,11/28/12
Sub-Saharan Africa,Rwanda,Snacks,Offline,H,6/1/11
Europe,Malta,Baby Food,Online,M,2/27/16
Asia,Indonesia,Vegetables,Offline,C,12/30/14
Sub-Saharan Africa,Nigeria,Personal Care,Offline,M,1/3/12
Europe,Iceland,Cereal,Offline,M,2/10/16
Asia,Myanmar,Personal Care,Offline,L,7/29/14
Sub-Saharan Africa,Madagascar,Cereal,Offline,M,8/31/14
Middle East and North Africa,Pakistan,Fruits,Online,L,2/20/17
Europe,Russia,Clothes,Offline,H,6/18/12
North America,Mexico,Vegetables,Offline,M,11/19/14
Sub-Saharan Africa,Namibia,Meat,Offline,H,3/17/13
Central America and the Caribbean,Grenada,Personal Care,Offline,L,6/14/12
North America,Greenland,Cosmetics,Online,M,11/30/14
Middle East and North Africa,Kuwait,Vegetables,Online,M,5/19/16
North America,Canada,Personal Care,Online,L,6/29/17
Europe,Italy,Snacks,Offline,L,5/20/12
Australia and Oceania,Tonga,Office Supplies,Offline,H,3/7/15
Europe,Portugal,Baby Food,Offline,L,10/13/10
Europe,Cyprus,Clothes,Offline,M,8/31/11
Australia and Oceania,Samoa ,Vegetables,Online,L,3/21/16
Middle East and North Africa,Oman,Clothes,Offline,M,7/18/12
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,L,7/8/12
Central America and the Caribbean,Grenada,Cereal,Offline,C,2/26/10
Sub-Saharan Africa,Lesotho,Fruits,Online,M,9/6/15
Central America and the Caribbean,Saint Lucia,Office Supplies,Offline,H,11/16/13
Europe,Malta,Snacks,Offline,C,4/24/13
Sub-Saharan Africa,Guinea-Bissau,Beverages,Offline,C,4/4/12
Middle East and North Africa,Morocco,Clothes,Online,H,1/20/10
Sub-Saharan Africa,Benin,Personal Care,Online,L,11/22/10
Australia and Oceania,Marshall Islands,Office Supplies,Offline,L,6/13/12
Middle East and North Africa,Syria,Vegetables,Online,M,4/5/17
Sub-Saharan Africa,Benin,Cereal,Online,C,10/11/13
Sub-Saharan Africa,Cameroon,Personal Care,Offline,L,6/14/10
Sub-Saharan Africa,Cameroon,Meat,Offline,C,10/17/16
Europe,Malta,Household,Online,C,11/18/16
Central America and the Caribbean,The Bahamas,Office Supplies,Online,C,12/30/10
Asia,Thailand,Meat,Online,M,11/6/11
Asia,Malaysia,Fruits,Offline,C,6/29/10
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Online,L,5/30/10
Europe,Austria,Cereal,Offline,L,2/22/16
Europe,Ireland,Household,Online,C,5/16/14
Europe,Spain,Snacks,Offline,M,7/21/15
North America,Canada,Clothes,Online,M,4/13/12
Middle East and North Africa,United Arab Emirates,Fruits,Offline,L,5/13/13
Sub-Saharan Africa,Senegal,Fruits,Online,H,4/23/17
Europe,Iceland,Personal Care,Offline,M,2/13/16
Europe,Albania,Baby Food,Offline,C,3/20/14
Sub-Saharan Africa,Tanzania,Cereal,Online,C,2/4/17
Australia and Oceania,Palau,Meat,Offline,H,5/19/12
Asia,Sri Lanka,Personal Care,Offline,H,6/24/11
Europe,France,Baby Food,Online,H,7/3/15
Central America and the Caribbean,Cuba,Snacks,Offline,H,6/25/11
Asia,Singapore,Personal Care,Offline,C,1/8/14
Asia,Singapore,Cosmetics,Offline,M,1/27/16
Middle East and North Africa,Azerbaijan,Beverages,Offline,H,6/6/15
Sub-Saharan Africa,Djibouti,Clothes,Offline,L,12/16/10
Sub-Saharan Africa,Burundi,Household,Online,M,12/13/13
Sub-Saharan Africa,Ghana,Meat,Offline,L,1/14/14
Asia,Sri Lanka,Cereal,Offline,H,4/14/13
Sub-Saharan Africa,Gabon,Baby Food,Online,M,10/24/14
Asia,Taiwan,Cosmetics,Online,C,6/15/11
Europe,Sweden,Clothes,Online,M,3/30/12
Central America and the Caribbean,Honduras,Personal Care,Online,L,12/8/15
Asia,South Korea,Beverages,Offline,M,10/6/14
Sub-Saharan Africa,Malawi,Cereal,Offline,H,5/24/13
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Online,H,7/20/17
Asia,Mongolia,Clothes,Online,M,2/5/15
Asia,Kazakhstan,Personal Care,Offline,L,2/7/10
Asia,Vietnam,Clothes,Offline,M,6/29/11
Sub-Saharan Africa,Mozambique,Cosmetics,Online,M,2/7/14
Sub-Saharan Africa,Zambia,Clothes,Offline,C,1/23/10
Asia,Taiwan,Fruits,Online,H,4/8/15
Central America and the Caribbean,The Bahamas,Office Supplies,Offline,L,8/10/12
Middle East and North Africa,Pakistan,Household,Online,L,5/4/16
Europe,Switzerland,Snacks,Offline,L,4/6/15
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,H,5/25/14
Europe,Montenegro,Cosmetics,Offline,L,1/14/16
Europe,Cyprus,Cereal,Online,C,12/22/15
Europe,Armenia,Cosmetics,Offline,H,11/5/14
Middle East and North Africa,Bahrain,Personal Care,Offline,M,5/10/14
Middle East and North Africa,Lebanon,Vegetables,Offline,C,6/28/13
Europe,United Kingdom,Meat,Online,C,4/17/12
Central America and the Caribbean,Panama,Baby Food,Offline,L,9/2/15
Australia and Oceania,Federated States of Micronesia,Personal Care,Online,H,6/8/14
Middle East and North Africa,Tunisia ,Cosmetics,Online,H,10/31/11
Middle East and North Africa,Somalia,Fruits,Online,L,3/2/12
Australia and Oceania,Solomon Islands,Personal Care,Online,M,1/11/17
Europe,Netherlands,Personal Care,Online,H,12/4/13
Australia and Oceania,Tuvalu,Clothes,Online,M,5/9/10
Sub-Saharan Africa,South Africa,Meat,Offline,L,11/19/14
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,C,8/23/10
Asia,Laos,Household,Online,C,2/12/12
Sub-Saharan Africa,Niger,Office Supplies,Offline,C,12/2/15
Sub-Saharan Africa,Namibia,Office Supplies,Online,M,2/27/12
Middle East and North Africa,Turkey,Household,Online,C,12/10/10
Middle East and North Africa,Morocco,Baby Food,Online,C,11/14/15
Middle East and North Africa,Iran,Vegetables,Online,M,9/1/12
Europe,Ukraine,Vegetables,Online,M,11/8/10
Asia,Bhutan,Clothes,Offline,C,3/21/17
Europe,Belarus,Baby Food,Online,L,11/25/16
Europe,Moldova ,Clothes,Online,H,1/15/15
Europe,Finland,Office Supplies,Online,M,4/6/10
Europe,Greece,Vegetables,Online,H,8/13/13
Sub-Saharan Africa,Republic of the Congo,Clothes,Offline,C,7/4/14
Australia and Oceania,Vanuatu,Beverages,Offline,C,10/2/14
Sub-Saharan Africa,Comoros,Snacks,Online,M,3/30/17
Sub-Saharan Africa,Ethiopia,Clothes,Online,M,7/29/14
Sub-Saharan Africa,Sudan,Office Supplies,Online,L,7/18/15
Europe,Austria,Beverages,Online,H,2/4/11
Asia,India,Snacks,Offline,M,12/12/15
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Online,H,10/21/11
Middle East and North Africa,Lebanon,Vegetables,Online,H,9/25/11
Sub-Saharan Africa,Comoros,Cereal,Online,L,12/6/10
Sub-Saharan Africa,Chad,Clothes,Offline,C,3/25/13
Middle East and North Africa,Jordan,Snacks,Offline,H,3/3/12
Asia,Mongolia,Household,Online,M,7/4/17
Sub-Saharan Africa,Benin,Personal Care,Offline,H,7/19/13
Asia,Uzbekistan,Personal Care,Online,H,12/16/15
Asia,Laos,Baby Food,Offline,H,12/19/14
Australia and Oceania,East Timor,Household,Offline,H,1/4/17
Central America and the Caribbean,Belize,Household,Online,M,8/30/10
Sub-Saharan Africa,Eritrea,Clothes,Offline,C,11/6/15
Central America and the Caribbean,Dominican Republic,Snacks,Online,C,11/28/11
Asia,Vietnam,Meat,Offline,L,2/9/17
Sub-Saharan Africa,Mauritania,Personal Care,Online,L,9/18/16
Australia and Oceania,Australia,Office Supplies,Offline,C,3/10/12
Middle East and North Africa,Bahrain,Personal Care,Online,C,6/5/17
Asia,Turkmenistan,Meat,Online,C,2/2/17
Sub-Saharan Africa,Mauritania,Meat,Offline,M,11/6/15
Asia,Maldives,Household,Online,H,11/6/11
Middle East and North Africa,Jordan,Office Supplies,Online,H,9/3/15
Europe,Bulgaria,Clothes,Online,H,3/31/16
Australia and Oceania,Samoa ,Personal Care,Online,L,12/3/14
Central America and the Caribbean,Jamaica,Beverages,Offline,L,2/9/14
Asia,Myanmar,Household,Offline,C,7/3/13
Asia,Maldives,Meat,Offline,C,11/12/13
Sub-Saharan Africa,Chad,Cosmetics,Online,M,3/24/13
Australia and Oceania,Palau,Fruits,Offline,M,9/11/10
Middle East and North Africa,Tunisia ,Office Supplies,Offline,H,3/20/10
Sub-Saharan Africa,Nigeria,Baby Food,Online,L,10/23/16
Europe,Liechtenstein,Office Supplies,Online,M,1/22/10
Europe,Sweden,Baby Food,Online,L,1/14/16
Asia,Myanmar,Baby Food,Online,C,8/31/12
Asia,Bhutan,Office Supplies,Online,M,10/19/16
Europe,Serbia,Personal Care,Online,H,4/10/12
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Online,H,4/13/14
Asia,Brunei,Meat,Online,H,7/29/12
Australia and Oceania,Solomon Islands,Cereal,Online,C,2/14/13
Europe,France,Snacks,Online,H,8/5/11
Sub-Saharan Africa,Mali,Fruits,Online,H,4/16/12
Europe,Malta,Fruits,Online,H,10/21/16
Middle East and North Africa,Egypt,Cereal,Offline,M,8/23/12
Europe,Lithuania,Vegetables,Offline,C,11/17/14
Europe,Ireland,Vegetables,Offline,L,12/5/16
Sub-Saharan Africa,Cote d'Ivoire,Office Supplies,Online,M,1/27/17
Australia and Oceania,Solomon Islands,Clothes,Online,C,8/25/14
Asia,Kyrgyzstan,Meat,Offline,M,11/4/13
Sub-Saharan Africa,Kenya,Household,Offline,L,5/4/12
Europe,Denmark,Fruits,Online,L,9/2/12
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,M,11/10/10
Sub-Saharan Africa,Democratic Republic of the Congo,Vegetables,Online,M,5/11/15
Europe,Lithuania,Vegetables,Online,H,12/16/12
Central America and the Caribbean,Saint Lucia,Baby Food,Online,H,6/16/10
Asia,Nepal,Clothes,Online,C,9/17/15
Sub-Saharan Africa,Liberia,Cosmetics,Offline,H,2/18/11
